zip,region,dog_patients,dog_enet_predictions,total_popE,median_incomeE,median_ageE,median_rentE,pct_seniors_65p,pct_poverty,pct_bach_plus,pct_renter,pct_white,pct_hispanic,pct_non_english,pct_unemployed
75231,DFW,77,87.05642955998235,39158,50603,31.7,1141,0.0946677562694724,0.18226664600444237,0.3366161421866585,0.8304711332052875,0.38089279329894277,0.3574748454977272,0.4789557805007991,0.04074585635359116
75232,DFW,149,295.5034869481688,33333,52739,41,1212,0.2029820298202982,0.22392269835553955,0.19336613814470566,0.32326899238533735,0.24021240212402123,0.43524435244352444,0.3528948280752624,0.04253538804825326
75233,DFW,83,129.52448469841025,15876,61750,32.1,1197,0.11778785588309398,0.2683921968634451,0.20782448935480385,0.46205032231233106,0.41622574955908287,0.5796800201562107,0.5044836956521739,0.048071625344352616
75234,DFW,61,96.87110900244781,33838,85105,33.9,1623,0.12766711980613513,0.08645395775612953,0.36661765361137105,0.41982100336645045,0.6424729593947632,0.5162834682900881,0.5324068224889451,0.03411929263662704
75235,DFW,77,47.72947285282089,18936,57744,31,1526,0.06606463878326996,0.18723267750213857,0.34104443426477327,0.7875112309074573,0.5794254330376003,0.46472327841149136,0.5011285407967498,0.07835505161617871
75236,DFW,71,103.25029136481024,18249,45739,30,1182,0.09036111567757138,0.18762671927228888,0.18967441860465117,0.6642952423299244,0.2718505123568415,0.4462162310263576,0.38545540404934775,0.0764838952924701
75237,DFW,38,70.64078441547035,19530,38552,28,1141,0.053609831029185866,0.28867681196801653,0.1655882620978766,0.8722201281568036,0.08965693804403482,0.18018433179723503,0.1586516336861482,0.05756751099016119
75238,DFW,94,53.55602994741387,32180,71352,35.8,1194,0.1266625233064015,0.09680651221039449,0.4965051258154706,0.5003051571559353,0.6008390304536979,0.22846488502175263,0.25611263736263734,0.024071991001124858
75240,DFW,41,162.95714812915955,26058,51607,31.2,1247,0.07421904981195794,0.2030852294639414,0.31244533300012495,0.7632431402439024,0.32500575638959245,0.5848875585232942,0.602188091731538,0.08358148348673525
75241,DFW,192,161.51673077991848,33081,45356,34.4,1152,0.13602974517094404,0.24707104144354655,0.11968625932022853,0.3506727307182111,0.15912457301774433,0.2623258063541005,0.2324778676212087,0.05247450882864959
75243,DFW,103,119.4094913183257,63047,47319,34.2,1162,0.10163846019636144,0.1943289526085225,0.32026112646526256,0.7397165697674418,0.2964613700889812,0.211048900026964,0.4303200856324022,0.06636766208697627
75244,DFW,11,22.513330691039062,12734,109440,37.8,1749,0.15297628396419036,0.044537285196279364,0.6577659574468085,0.48672720922109675,0.6565886602795665,0.19224124391393121,0.2496272983269836,0.04696063776781265
75246,DFW,7,16.92231954346628,2265,42429,40.4,980,0.15673289183222958,0.2946750902527076,0.2185466377440347,0.8429027113237639,0.5350993377483444,0.3236203090507726,0.34995383194829177,0.0030188679245283017
75247,DFW,4,21.747226701157032,992,18750,58.7,1233,0.32056451612903225,0.7321613236814891,0.11928651059085842,1,0.38306451612903225,0.23387096774193547,0.15927419354838712,0.25077399380804954
75248,DFW,55,48.411070769046695,37282,98584,40,1523,0.1804624215439086,0.04444743210540468,0.6170406196588967,0.4668381077686741,0.6801941955903653,0.1676143983691862,0.1837748814493001,0.03607412738395106
75249,DFW,48,164.56593090826075,17853,79162,30.5,1788,0.085867921357755,0.08881781967121136,0.2792894935752079,0.2803291236127057,0.2335181762168823,0.3905226012434885,0.31746229589928954,0.052041371801850846
75251,DFW,7,20.575452851152484,3801,85294,31.7,1660,0.08787161273349119,0.04946066824519863,0.6132941608520015,1,0.47382267824256774,0.14627729544856616,0.170054945054945,0.011603375527426161
75252,DFW,27,32.86941715047722,27541,77147,38.1,1240,0.1743945390508696,0.14005755290860744,0.6100851212106128,0.5433145755726401,0.559057405322973,0.14509277077811264,0.3154484088717454,0.059030837004405284
75253,DFW,501,162.56477154608254,24411,51642,25.6,1330,0.05509811150710745,0.21851090086384203,0.08991583036581417,0.322884012539185,0.5274261603375527,0.6956699848428987,0.6573649680956233,0.036786855317206754
75254,DFW,40,77.46106486396181,24316,70901,30.8,1398,0.08804902122059549,0.1632805373579899,0.48317802250998426,0.7798165137614679,0.44962164829741735,0.3343888797499589,0.35265502818694305,0.04475299076427199
75287,DFW,61,136.13490998738317,52240,60256,34.1,1286,0.09615237366003063,0.13433607970875647,0.4609352760021739,0.7682621529723872,0.47036753445635526,0.28625574272588056,0.3373244913831921,0.044596810254881505
76001,DFW,50,59.152476664544935,38010,101311,34.3,1743,0.10684030518284662,0.09096739711384287,0.41311867446726735,0.222096858184343,0.528282031044462,0.20549855301236516,0.26981732864085806,0.048118126903815374
76002,DFW,53,51.807400707296786,33076,102369,32.7,2009,0.052636352642399326,0.07071655809725799,0.341713267679517,0.16427232979387882,0.35418430281775304,0.2148385536340549,0.38218428254919845,0.07579203469614429
76006,DFW,30,37.13951185166064,24072,56312,32.9,1264,0.08860917248255235,0.08731247142916511,0.3501082251082251,0.7597982470646601,0.38463775340644735,0.23134762379528082,0.3022472408137937,0.0534610630407911
76010,DFW,61,384.6911135883993,57197,42571,27.5,1151,0.07509135094497964,0.24366111190920844,0.10906506428894489,0.6758099352051836,0.3081630155427732,0.5985978285574418,0.6168377980458517,0.06840049193373363
76011,DFW,20,52.7914043048122,22529,50200,30.8,1199,0.08997292378711882,0.1924935639763335,0.2556540140193096,0.8018803251395554,0.41315637622619733,0.37644813351680056,0.40453957764688986,0.054642749472414834
76012,DFW,44,53.21676830941108,27769,80972,41.1,1222,0.19989916813713132,0.1550925925925926,0.4055354371443352,0.37465025181869055,0.6067197234326047,0.3076452158882207,0.3120510469203729,0.021316745876432765
76013,DFW,40,40.9610111025863,35535,64585,31.5,1222,0.1419727029689039,0.16653134866937302,0.40091664019603396,0.5,0.648853243281272,0.16929787533417756,0.19982799015391917,0.05862068965517241
76014,DFW,45,92.99474045602385,32805,60894,31.8,1401,0.10217954580094497,0.15786082474226804,0.17097823367525644,0.5230654065687284,0.2978509373571102,0.4180460295686633,0.5075191681200435,0.058148615366132035
76015,DFW,24,32.503758897476764,17474,69805,32.1,1443,0.12395559116401511,0.12837096494773922,0.2931262684196594,0.5344447939603649,0.5031475334783106,0.2720041204074625,0.28497313322216045,0.05534825870646766
76016,DFW,61,27.71811725557919,31079,103605,42,1749,0.17851282216287526,0.0555249603161748,0.40505270979426927,0.17279647803356873,0.6875703851475272,0.15724444158434955,0.15248047073145987,0.06124325649828347
76017,DFW,67,45.403635367808,46361,89930,38,1431,0.1425767347555057,0.0820432425370697,0.3397194000967586,0.3273356401384083,0.5790211600267466,0.17396087228489462,0.20195821865270946,0.051558392790086366
76018,DFW,38,57.70193585517397,27827,83815,31,1744,0.07586157329212635,0.07564807823679574,0.25990158425348053,0.22943880019351717,0.40593668020268087,0.31641930499155496,0.4244407654102337,0.04974442089515023
76020,DFW,35,10.67441894651445,32937,87923,40,1114,0.1477669490238941,0.09742978515326549,0.206081820170641,0.19708209693372897,0.8665634392931961,0.16859458967119045,0.10630795350659528,0.03639586410635155
76021,DFW,13,24.64538047611666,34858,84539,38.9,1307,0.1627746858683803,0.07487929688629333,0.432461398007383,0.4600636813224036,0.7060359171495783,0.15448390613345572,0.16621687929342488,0.04850192821121329
76022,DFW,16,19.073754905627524,14632,70286,37.1,1429,0.15677966101694915,0.049523544550323435,0.2576208559991789,0.4790681380276756,0.5792782941498087,0.23393931109896118,0.22691846522781778,0.032114183764495985
76023,DFW,3,2.159171643901045,7227,83750,40.9,1048,0.1445966514459665,0.10446935104469351,0.18544506816359263,0.1288639100762746,0.9298464092984641,0.08717310087173101,0.06682195370505173,0.01780264496439471
76028,DFW,96,97.45777502301121,76343,93314,37.5,1558,0.13946268813119736,0.06713590317063545,0.28613487169285856,0.2434034416826004,0.7966545721284204,0.19802732405066606,0.1269579093237777,0.03401745937733371
76031,DFW,21,11.10720174291352,18108,68203,37.3,1157,0.1340291583830351,0.15204545454545454,0.15078407720144751,0.2191874359849778,0.8581842279655401,0.27407775568809367,0.21206977288691176,0.05196247840039497
76034,DFW,5,15.497274706479192,25793,196034,47.2,2785,0.1909432791842748,0.033460135082679913,0.6713665943600867,0.04097560975609756,0.7975419687512115,0.08079711549645252,0.09767235108704442,0.03751814778023993
76036,DFW,79,52.96430188323687,30489,89393,34.6,1526,0.13650824887664403,0.05988102671968975,0.27954010974653776,0.2558467741935484,0.578175735511168,0.2888254780412608,0.19958180867747,0.05217447663490829
76039,DFW,30,43.88767304460275,41045,80176,34.3,1622,0.10076745035936167,0.08501915615315161,0.40994652406417115,0.6328403577482902,0.5216956998416372,0.17220124253867705,0.25425167880206856,0.05333178636346057
76040,DFW,30,22.321372403370667,30708,65698,33.6,1129,0.09482870913117103,0.09459371118519971,0.29940210018590163,0.5863222927750129,0.4481242672919109,0.2238830272241761,0.4190067095033547,0.04316003485332559
76041,DFW,3,2.4310702197359975,772,154427,35.9,991,0.16062176165803108,0,0.14102564102564102,0,0.9430051813471503,0.5401554404145078,0.4831606217616581,0.019130434782608695
76043,DFW,1,6.737660662546532,7281,75764,43.8,853,0.18555143524241174,0.042511261261261264,0.288058856819468,0.22756777395952654,0.7740694959483587,0.22799066062354073,0.19697611982478447,0.04447814000505433
76044,DFW,15,6.07380857537893,7644,88795,36.5,1190,0.1476975405546834,0.0619109947643979,0.21186955641077576,0.10061680801850424,0.8300627943485086,0.1944008372579801,0.13948528366273283,0.035356068204613844
76048,DFW,26,13.647765828091858,27005,61728,45.8,1165,0.24469542677281986,0.12401770046540017,0.26220464244821484,0.2818477084085168,0.8603591927420848,0.15948898352157007,0.13130128956623677,0.050872942945451506
76049,DFW,13,9.527804478713955,29301,96674,51.6,1432,0.2925838708576499,0.049725265349305485,0.34750576957216406,0.11376842105263157,0.9191153885532917,0.11030340261424525,0.07472535311742046,0.07203770197486535
76051,DFW,18,47.46066089857392,50303,106726,39.8,1750,0.12947537920203567,0.05773307203135624,0.5240140570089808,0.4727666792310592,0.7281673061248832,0.19714529948512016,0.22642301156032985,0.05044726111831084
76052,DFW,46,21.56340392694198,27171,135348,34.9,1837,0.07305583158514593,0.03728239667292334,0.45961130539471423,0.1153104074452389,0.7251849398255493,0.168120422509293,0.1343979761245948,0.024334100624794474
76053,DFW,23,39.42848549508641,31396,59985,35.7,1245,0.13734233660338896,0.12401858676494151,0.2851831656174094,0.4713856713856714,0.6320550388584533,0.2881577270989935,0.31465635268346115,0.03239567233384853
76054,DFW,4,12.971969678270044,11886,104748,43.9,1490,0.207218576476527,0.04180201743887844,0.4840969112412447,0.17167381974248927,0.7660272589601211,0.1315833753996298,0.1053096563300645,0.030203349282296652
76055,DFW,6,12.80076244320736,3566,68466,37.5,859,0.16993830622546272,0.13913798090830198,0.12095400340715502,0.1718875502008032,0.7434099831744251,0.3039820527201346,0.13920625375826823,0.02014218009478673
76058,DFW,34,11.315217189972454,21082,66777,34.4,1206,0.12062422920026562,0.14279602604934163,0.1547374037655309,0.26951856557955667,0.8698890048382506,0.22028270562565222,0.1523363554847066,0.033320566832631175
76059,DFW,3,10.547114146920222,5224,49703,30.2,953,0.13935681470137826,0.15212289310859825,0.21225607668606641,0.6022392457277549,0.8344180704441041,0.35011485451761104,0.29254341164453523,0.03858520900321544
76060,DFW,23,4.408371552227509,8552,112931,42.8,1181,0.17060336763330214,0.06776470588235294,0.2751141552511416,0.2605160834217038,0.6779700654817586,0.1818288119738073,0.20120674793744608,0.046804123711340205
76063,DFW,123,137.4267066849914,80101,110303,37.8,1619,0.11605348247837105,0.06628194973534995,0.3817749946015979,0.2444513305186505,0.613825045879577,0.17386799166052858,0.18356824100611158,0.036429700587499704
76064,DFW,8,9.559666071723713,1952,78523,47.2,1537,0.2033811475409836,0.06504904491481672,0.27045769764216365,0.3666191155492154,0.7223360655737705,0.32223360655737704,0.30910070005385026,0.06742640075973409
76065,DFW,184,28.92330315754636,42415,121063,36.4,1522,0.1204526700459743,0.053947897688285264,0.3618508655126498,0.1581650852536206,0.7743251208298951,0.18267122480254627,0.09902511524800361,0.029176553299938485
76066,DFW,0,4.51214629294973,4923,98145,37.6,584,0.16961202518789356,0.12675483214649033,0.33516483516483514,0.19919786096256684,0.7810278285598212,0.19601868779199674,0.1328800988875154,0.08851422550052687
76071,DFW,6,2.886615519684817,4610,94318,32.2,1132,0.06811279826464209,0.20122217372326495,0.16883116883116883,0.19764216366158113,0.8329718004338394,0.1859002169197397,0.138347260909935,0.1164065795023197
76077,DFW,0,2.6409268015325824,748,98776.5,26.1,1279.5,0.06818181818181818,0.43716577540106955,0.2519893899204244,0,0.9064171122994652,0.029411764705882353,0.19574468085106378,0
76078,DFW,5,11.062557792701291,9696,89794,35,1440,0.12004950495049505,0.08851575456053068,0.1951850056551947,0.1759465478841871,0.7772277227722773,0.24432755775577558,0.14263427679964347,0.036688051323175624
76082,DFW,15,6.667845259409878,23489,84506,37.6,1134,0.14951679509557667,0.11278901117652078,0.14972215205860065,0.1589334727486603,0.8785388905445102,0.14862275958959512,0.08047073791348602,0.05067623977291701
76084,DFW,46,17.83536622169264,12058,85748,33.5,1605,0.09744567921711726,0.11399292645325111,0.16244698624855416,0.08190032060623725,0.662133023718693,0.25153425111958866,0.2069657184536834,0.03838529464768427
